epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,147.64,0.8202,0.88924,0.7808,0.97518,0.85895,0.79088,0.83754,0.62766,0.85258,0.74026,0.79508,0.4297,0.86821,1.00383,0.79292,1.0115,0.0008516,0.0008516,0.0008516
31,152.476,0.9641,1.03155,0.84332,1.04224,0.90857,0.68831,0.8189,0.63423,0.89143,0.67532,0.76498,0.39298,0.86626,1.06219,0.7928,1.01376,0.000812,0.000812,0.000812
32,157.461,0.79429,0.90608,0.71585,0.96989,0.77115,0.76623,0.81281,0.64265,0.90485,0.64935,0.76423,0.39484,0.80351,1.00049,0.79141,0.98977,0.0007724,0.0007724,0.0007724
33,162.329,0.79992,0.95081,0.70825,0.97658,0.8521,0.71429,0.82246,0.64101,0.88459,0.69684,0.77966,0.41795,0.83169,1.00949,0.74044,0.97921,0.0007328,0.0007328,0.0007328
34,166.882,0.81001,0.87771,0.70615,0.96757,0.90269,0.74026,0.83862,0.62966,0.77227,0.79277,0.78898,0.42934,0.89385,1.05299,0.7343,1.02334,0.0006932,0.0006932,0.0006932
35,171.983,0.79501,0.84885,0.681,0.94744,0.85268,0.79221,0.83463,0.6458,0.79632,0.74026,0.74813,0.41834,0.86616,1.03825,0.72298,1.01842,0.0006536,0.0006536,0.0006536
36,177.366,0.81993,0.90676,0.69064,0.96612,0.83387,0.80519,0.83151,0.63869,0.8198,0.79221,0.79876,0.41913,0.90162,1.0545,0.72097,1.03337,0.000614,0.000614,0.000614
37,182.078,0.75843,0.92095,0.70083,0.95877,0.84869,0.79221,0.82941,0.6489,0.83478,0.77922,0.80823,0.43698,0.85615,1.01002,0.73391,1.01534,0.0005744,0.0005744,0.0005744
38,186.784,0.76413,0.88163,0.67124,0.96983,0.83516,0.78959,0.82156,0.63146,0.82142,0.7766,0.81664,0.42561,0.89778,1.03073,0.75294,1.02202,0.0005348,0.0005348,0.0005348
39,192.234,0.74153,0.86606,0.67271,0.94574,0.86311,0.77922,0.81859,0.63423,0.86012,0.74026,0.80187,0.39639,0.85639,1.05177,0.77403,1.02467,0.0004952,0.0004952,0.0004952
40,197.64,0.81798,0.94301,0.71128,0.97257,0.90214,0.72727,0.83057,0.65028,0.7875,0.76623,0.80191,0.43254,0.8084,0.98164,0.74099,0.97099,0.0004556,0.0004556,0.0004556
41,219.134,0.74394,0.77424,0.67928,0.96772,0.90736,0.76325,0.84699,0.65536,0.87658,0.73797,0.805,0.45068,0.80062,0.96072,0.6492,0.98912,0.000416,0.000416,0.000416
42,223.89,0.74371,0.74916,0.68101,0.95552,0.8363,0.83117,0.84681,0.64782,0.79688,0.79221,0.80625,0.41502,0.83479,1.01425,0.67124,1.015,0.0003764,0.0003764,0.0003764
43,228.596,0.75663,0.76522,0.66746,0.98506,0.81294,0.79019,0.81105,0.64452,0.88837,0.72353,0.79598,0.42992,0.84211,1.04891,0.76759,1.01,0.0003368,0.0003368,0.0003368
44,233.146,0.73027,0.83009,0.6574,0.9568,0.81797,0.79221,0.80869,0.64609,0.80377,0.77922,0.79604,0.45,0.84015,1.01383,0.82512,1.00871,0.0002972,0.0002972,0.0002972
45,237.647,0.72392,0.71731,0.65192,0.9629,0.82096,0.77922,0.8152,0.66604,0.92851,0.67532,0.78435,0.44274,0.80056,1.03271,0.75041,0.98071,0.0002576,0.0002576,0.0002576
46,242.154,0.72191,0.72778,0.64456,0.97296,0.83489,0.76623,0.81555,0.67738,0.85499,0.68915,0.77557,0.45295,0.81289,1.02672,0.71994,0.9781,0.000218,0.000218,0.000218
47,246.674,0.67896,0.70599,0.63524,0.93573,0.8674,0.76623,0.83795,0.66551,0.862,0.73015,0.79967,0.44656,0.82995,0.99817,0.74326,1.00244,0.0001784,0.0001784,0.0001784
48,251.222,0.71274,0.70239,0.62803,0.95952,0.84336,0.76918,0.83346,0.66988,0.94351,0.68831,0.79162,0.44714,0.81731,0.99714,0.76632,0.99778,0.0001388,0.0001388,0.0001388
49,255.847,0.71214,0.74195,0.63984,0.97147,0.84128,0.75726,0.82723,0.67364,0.84033,0.75188,0.79061,0.44396,0.77844,1.02381,0.76055,0.98005,9.92e-05,9.92e-05,9.92e-05
50,260.389,0.66999,0.75203,0.63855,0.93557,0.84333,0.75325,0.82072,0.67357,0.84333,0.75325,0.79184,0.44539,0.76489,1.0133,0.75274,0.97398,5.96e-05,5.96e-05,5.96e-05
